,,,Salary,Salary,Salary,Salary,Salary,Salary,,
64,Tim Hardaway\hardati02,NYK,$16500000,$17325000,$18150000,$18975000,,,Cap space,$51975000
65,Draymond Green\greendr01,GSW,$16400000,$17469565,$18539130,,,,Bird Rights,$52408695
66,Tristan Thompson\thomptr01,CLE,$16400000,$17469565,$18539130,,,,Bird Rights,$52408695
67,Reggie Jackson\jacksre01,DET,$16000000,$17043478,$18086956,,,,Bird Rights,$51130434
68,Pau Gasol\gasolpa01,SAS,$16000000,$16000000,$16000000,,,,,$38700000
69,Tobias Harris\harrito02,DET,$16000000,$14800000,,,,,Bird Rights,$30800000
70,Dennis Schroder\schrode01,ATL,$15500000,$15500000,$15500000,$15500000,,,1st Round Pick,$62000000
71,Jonas Valanciunas\valanjo01,TOR,$15460675,$16539326,$17617977,,,,1st Round Pick,$32000001
72,Tony Parker\parketo01,SAS,$15453126,,,,,,Bird Rights,$15453126
73,Timofey Mozgov\mozgoti01,BRK,$15280000,$16000000,$16720000,,,,Cap Space,$48000000
74,Andre Iguodala\iguodan01,GSW,$14814815,$16000000,$17185185,,,,Bird Rights,$48000000
75,DeMarre Carroll\carrode01,BRK,$14800000,$15400000,,,,,Cap Space,$30200000
76,Thaddeus Young\youngth01,IND,$14796348,$13764045,,,,,Bird Rights,$14796348
77,Eric Bledsoe\bledser01,PHO,$14500000,$15000000,,,,,Bird Rights,$29500000
78,Ricky Rubio\rubiori01,UTA,$14250000,$14950000,,,,,1st Round Pick,$29200000
79,Gorgui Dieng\dienggo01,MIN,$14112360,$15170787,$16229213,$17287640,,,1st Round Pick,$62800000
80,Khris Middleton\middlkh01,MIL,$14100000,$13000000,$13000000,,,,Bird Rights,$27100000
81,Taj Gibson\gibsota01,MIN,$14000000,$14000000,,,,,Cap space,$28000000
82,James Johnson\johnsja01,MIA,$13954000,$14651700,$15349400,,,,Cap space,$43955100
83,Robin Lopez\lopezro01,CHI,$13788500,$14357750,,,,,Cap Space,$28146250
84,J.R. Smith\smithjr01,CLE,$13760000,$14720000,$15680000,,,,Bird Rights,$32350000
85,Brandon Knight\knighbr03,PHO,$13618750,$14631250,$15643750,,,,,$43893750
86,Marvin Williams\willima02,CHO,$13168750,$14087500,$15006250,,,,Cap Space,$27256250
87,Tyson Chandler\chandty01,PHO,$13000000,$13585000,,,,,Cap Space,$26585000
88,Michael Kidd-Gilchrist\kiddgmi01,CHO,$13000000,$13000000,$13000000,,,,1st Round Pick,$26000000
89,Eric Gordon\gordoer01,HOU,$12943020,$13500375,$14057730,,,,Cap Space,$40501125
90,Kenneth Faried\farieke01,DEN,$12921348,$13764045,,,,,1st Round Pick,$26685393
91,Marcin Gortat\gortama01,WAS,$12782609,$13565218,,,,,Bird Rights,$26347827
92,Cody Zeller\zelleco01,CHO,$12584270,$13528090,$14471910,$15415730,,,1st Round Pick,$56000000
93,Miles Plumlee\plumlmi01,ATL,$12500000,$12500000,$12500000,,,,Bird Rights,$37500000
94,Zach Randolph\randoza01,SAC,$12307692,$11692308,,,,,Cap space,$24000000
95,Nikola Vucevic\vucevni01,ORL,$12250000,$12750000,,,,,Bird Rights,$25000000
96,Solomon Hill\hillso01,NOP,$12236535,$12752928,$13258781,,,,Cap Space,$38248244
97,Wilson Chandler\chandwi01,DEN,$12016854,$12800562,,,,,,$12016854
98,Kemba Walker\walkeke02,CHO,$12000000,$12000000,,,,,1st Round Pick,$24000000
99,Derrick Favors\favorde01,UTA,$12000000,,,,,,1st Round Pick,$12000000
100,Jeremy Lin\linje01,BRK,$12000000,$12516746,,,,,Cap Space,$12000000
101,Austin Rivers\riverau01,LAC,$11825000,$12650000,,,,,Cap Space,$11825000
102,Courtney Lee\leeco01,NYK,$11747890,$12253780,$12759670,,,,Cap Space,$36761340
103,Nikola Pekovic\pekovni01,MIN,$11600000,,,,,,,$11600000
104,Jordan Clarkson\clarkjo01,LAL,$11562500,$12500000,$13437500,,,,Cap Space,$37500000
105,John Henson\hensojo01,MIL,$11422536,$10577466,$9732396,,,,1st Round Pick,$31732398
106,Dion Waiters\waitedi01,MIA,$11000000,$11550000,$12100000,$12650000,,,Cap space,$47300000
107,Amir Johnson\johnsam01,PHI,$11000000,,,,,,Cap space,$11000000
108,Jamal Crawford\crawfja01,ATL,$10942762,$2304226,,,,,,$13246988
109,Alec Burks\burksal01,UTA,$10845506,$11536515,,,,,1st Round Pick,$22382021
110,Kelly Olynyk\olynyke01,MIA,$10607169,$11137527,$11667885,$12198243,,,Cap space,$33412581
111,Omer Asik\asikom01,NOP,$10595505,$11286516,$11977527,,,,Bird Rights,$24882021
112,Joe Johnson\johnsjo02,UTA,$10505000,,,,,,Cap Space,$10505000
113,Terrence Ross\rosste01,ORL,$10500000,$10500000,,,,,Rookie scale extension,$21000000
114,Mirza Teletovic\teletmi01,MIL,$10500000,$10500000,,,,,Cap Space,$21000000
115,Bojan Bogdanovic\bogdabo02,IND,$10500000,$10500000,,,,,Cap space,$12000000
116,Jon Leuer\leuerjo01,DET,$10497319,$10002681,$9508043,,,,Cap Space,$30008043
117,Iman Shumpert\shumpim01,CLE,$10337079,$11011234,,,,,Bird Rights,$10337079
118,Maurice Harkless\harklma01,POR,$10162922,$10837079,$11511234,,,,Cap Space,$32511235
119,Jared Dudley\dudleja01,PHO,$10000000,$9530000,,,,,Cap Space,$19530000
120,Darren Collison\collida01,IND,$10000000,$10000000,,,,,Cap space,$12000000
121,Danny Green\greenda02,SAS,$10000000,$10000000,,,,,Bird Rights,$10000000
122,Meyers Leonard\leoname01,POR,$9904495,$10595506,$11286515,,,,Cap Space,$31786516
123,Al Jefferson\jeffeal01,IND,$9769821,$10000000,,,,,Cap Space,$13769821
124,Matthew Dellavedova\dellama01,MIL,$9607500,$9607500,$9607500,,,,Cap Space,$28822500
125,Bogdan Bogdanovic\bogdabo01,SAC,$9470614,$9000000,$8529386,,,,Cap space,$27000000
126,Andre Roberson\roberan03,OKC,$9259259,$10000000,$10740741,,,,Bird Rights,$30000000
127,Trevor Booker\booketr01,BRK,$9125000,,,,,,Cap Space,$9125000
128,Dwight Powell\poweldw01,DAL,$9003125,$9631250,$10259375,,,,Cap Space,$18634375
129,Jerryd Bayless\bayleje01,PHI,$9000000,$8575916,,,,,Cap Space,$17575916
130,Avery Bradley\bradlav01,DET,$8808989,,,,,,Bird Rights,$8808989
131,E'Twaun Moore\mooreet01,NOP,$8445024,$8808685,$8664928,,,,Cap Space,$25918637
132,Rudy Gay\gayru01,SAS,$8406000,$8826300,,,,,MLE,$8406000
133,Kosta Koufos\koufoko01,SAC,$8393000,$8739500,,,,,Cap Space,$8393000
134,Markieff Morris\morrima02,WAS,$8000000,$8600000,,,,,Bird Rights,$16600000
135,Vince Carter\cartevi01,SAC,$8000000,,,,,,Cap space,$8000000
136,Garrett Temple\templga01,SAC,$8000000,$8000000,,,,,Cap Space,$8000000
137,C.J. Miles\milescj01,TOR,$7936509,$8333333,$8730158,,,,MLE,$16269842
138,Cristiano Felicio\feliccr01,CHI,$7843500,$8470980,$8156500,$7529020,,,Cap space,$32000000
139,Shaun Livingston\livinsh01,GSW,$7692308,$8307692,$7692308,,,,Bird Rights,$18000000
140,Cory Joseph\josepco01,IND,$7630000,$7945000,,,,,Cap Space,$7630000
141,P.J. Tucker\tuckepj01,HOU,$7590035,$7969537,$8349039,$7969537,,,MLE,$26477799
142,Corey Brewer\breweco01,LAL,$7579366,,,,,,Cap Space,$7579366
143,Andrew Wiggins\wiggian01,MIN,$7574322,,,,,,1st Round Pick,$7574322
144,Darrell Arthur\arthuda01,DEN,$7464912,$7464912,,,,,Cap Space,$7464912
145,Trevor Ariza\arizatr01,HOU,$7420912,,,,,,Bird Rights,$7420912
146,Channing Frye\fryech01,CLE,$7420912,,,,,,Cap Space,$7420912
147,Al-Farouq Aminu\aminual01,POR,$7319035,$6957105,,,,,Cap Space,$14276140
148,Cole Aldrich\aldrico01,MIN,$7300000,$6956021,,,,,Cap Space,$9356021
149,D.J. Augustin\augusdj01,ORL,$7250000,$7250000,$7250000,,,,Cap Space,$21750000
150,Markelle Fultz\fultzma01,PHI,$7026240,$8339880,$9745200,$12288697,,,1st Round Pick,$15366120
151,Kyle Korver\korveky01,CLE,$7000000,$7560000,$7500000,,,,Bird Rights,$18000000
152,Jeremy Lamb\lambje01,CHO,$7000000,$7488372,,,,,Rookie scale extension,$14488372
153,Boban Marjanovic\marjabo01,DET,$7000000,$7000000,,,,,Cap Space,$14000000
154,Lou Williams\willilo02,LAC,$7000000,,,,,,Cap Space,$7000000
155,Jae Crowder\crowdja01,BOS,$6796117,$7305825,$7815533,,,,Bird Rights,$21917475
156,Jabari Parker\parkeja01,MIL,$6782392,,,,,,1st Round Pick,$6782392
157,Langston Galloway\gallola01,DET,$6666667,$7000000,$7333333,,,,MLE,$21000000
158,Lance Thomas\thomala01,NYK,$6655325,$7119650,$7583975,,,,Cap Space,$13774975
159,Marco Belinelli\belinma01,ATL,$6606060,,,,,,Cap Space,$6606060
160,Andrew Nicholson\nichoan01,POR,$6362998,$6637002,$6911007,,,,Cap Space,$13000000
161,Ed Davis\davised01,POR,$6352531,,,,,,Cap Space,$6352531
162,Jonathon Simmons\simmojo02,ORL,$6300000,$6000000,$5700000,,,,Cap space,$13300000
163,Lonzo Ball\balllo01,LAL,$6286560,$7461960,$8719320,$11003782,,,1st Round Pick,$13748520
164,Wayne Ellington\ellinwa01,MIA,$6270000,,,,,,Cap Space,$6270000
165,Isaiah Thomas\thomais02,BOS,$6261395,,,,,,,$6261395
166,Karl-Anthony Towns\townska01,MIN,$6216840,$7839435,,,,,1st round pick,$6216840
167,Ben Simmons\simmobe01,PHI,$6168840,$6434520,$8113930,,,,1st Round pick,$6168840
168,Joel Embiid\embiijo01,PHI,$6100266,,,,,,1st Round Pick,$6100266
169,Spencer Hawes\hawessp01,MIL,$6021175,,,,,,MLE,$6021175
170,Josh McRoberts\mcrobjo01,DAL,$6021175,,,,,,MLE,$6021175
171,Ish Smith\smithis01,DET,$6000000,$6000000,,,,,Cap Space,$12000000
172,Alan Williams\willial03,PHO,$6000000,$5520000,$5520000,,,,Cap space,$6000000
173,Shelvin Mack\macksh01,ORL,$6000000,$6000000,,,,,Cap space,$6000000
174,Milos Teodosic\teodomi01,LAC,$6000000,$6300000,,,,,MLE,$6000000
175,Dewayne Dedmon\dedmode01,ATL,$6000000,$6300000,,,,,Cap space,$6000000
176,Ersan Ilyasova\ilyaser01,ATL,$6000000,,,,,,Cap space,$6000000
177,Brandan Wright\wrighbr03,MEM,$5955760,,,,,,MLE,$5955760
178,Tyler Johnson\johnsty01,MIA,$5881260,$19245370,$19245370,,,,Cap Space,$25126630
179,Wesley Johnson\johnswe01,LAC,$5881260,$6134000,,,,,Cap Space,$5881260
180,Alex Abrines\abrinal01,OKC,$5725000,$5455236,,,,,Cap Space,$11180236
181,Jayson Tatum\tatumja01,BOS,$5645400,$6700800,$7830000,$9897120,,,1st Round Pick,$12346200
182,D'Angelo Russell\russeda01,BRK,$5562360,$7019698,,,,,1st round pick,$5562360
183,Brandon Ingram\ingrabr01,LAL,$5519400,$5757120,$7265485,,,,1st Round pick,$5519400
184,Patrick Beverley\beverpa01,LAC,$5513514,$5027028,,,,,Bird Rights,$5513514
185,Aaron Gordon\gordoaa01,ORL,$5504420,,,,,,1st Round Pick,$5504420
186,Deron Williams\willide01,BRK,$5500000,$5500000,$5500000,,,,,$16500000
187,Josh Smith\smithjo03,DET,$5400000,$5400000,$5400000,,,,,$16200000
188,Jason Smith\smithja02,WAS,$5225000,$5450000,,,,,Cap Space,$5225000
189,Ben McLemore\mclembe01,MEM,$5200000,$5460000,,,,,MLE,$10660000
190,Patrick Patterson\pattepa01,OKC,$5192000,$5451600,$5711200,,,,MLE,$10643600
191,Nick Young\youngni01,GSW,$5192000,,,,,,MLE,$5192000
192,Josh Jackson\jacksjo02,PHO,$5090040,$6041520,$7059480,$8930242,,,1st Round Pick,$11131560
193,Marcus Morris\morrima03,BOS,$5000000,$5375000,,,,,Bird Rights,$10375000
194,Dirk Nowitzki\nowitdi01,DAL,$5000000,$5000000,,,,,Cap space,$5000000
195,Mike Muscala\muscami01,ATL,$5000000,$5000000,,,,,Cap space,$5000000
196,Jahlil Okafor\okafoja01,PHI,$4995120,$6313832,,,,,1st round pick,$4995120
197,Dante Exum\exumda01,UTA,$4992385,,,,,,1st Round Pick,$4992385
198,Alexis Ajinca\ajincal01,NOP,$4961798,$5285394,,,,,Early Bird Rights,$10247192
199,Jaylen Brown\brownja02,BOS,$4956480,$5169960,$6534829,,,,1st Rd pick,$4956480
200,Jameer Nelson\nelsoja01,DEN,$4736050,,,,,,Cap Space,$4736050
201,Kyle Singler\singlky01,OKC,$4666500,$4996000,$5333500,,,,Bird Rights,$9662500
202,Justin Holiday\holidju01,CHI,$4615385,$4384616,,,,,MLE,$9000001
203,De'Aaron Fox\foxde01,SAC,$4609200,$5407920,$6392760,$8099627,,,1st Round Pick,$10017120
204,Marcus Smart\smartma01,BOS,$4538020,,,,,,1st Round Pick,$4538020
205,Kristaps Porzingis\porzikr01,NYK,$4503600,$5697054,,,,,1st round pick,$4503600
206,Dragan Bender\bendedr01,PHO,$4468800,$4661280,$5896519,,,,1st Round pick,$4468800
207,Devin Harris\harride01,DAL,$4402546,,,,,,Cap Space,$1339662
208,Jamal Crawford\crawfja01,MIN,$4328000,$4544400,,,,,Room Exception,$4328000
209,Aron Baynes\baynear01,BOS,$4328000,,,,,,Room Exception,$4328000
210,Jonathan Isaac\isaacjo01,ORL,$4186320,$4969080,$5806440,$7362566,,,1st Round Pick,$9155400
211,Lance Stephenson\stephla01,IND,$4180000,$4360000,,,,,Cap space,$4180000
212,Julius Randle\randlju01,LAL,$4149242,,,,,,1st Round Pick,$4149242
213,Kyle O'Quinn\oquinky01,NYK,$4087500,$4256250,,,,,Bird Rights,$4087500
214,Mario Hezonja\hezonma01,ORL,$4078320,$5167231,,,,,1st round pick,$4078320
215,Kris Dunn\dunnkr01,CHI,$4046760,$4221000,$5348007,,,,1st Round pick,$4046760
216,Nemanja Bjelica\bjeline01,MIN,$3949999,,,,,,MLE,$3949999
217,J.J. Barea\bareajo01,DAL,$3903900,$3710850,,,,,Cap Space,$7614750
218,Quincy Pondexter\pondequ01,NOP,$3853931,,,,,,1st Round Pick,$3853931
219,Lauri Markkanen\markkla01,CHI,$3821640,$4536120,$5300400,$6731508,,,1st Round Pick,$8357760
220,Nik Stauskas\stausni01,PHI,$3807146,,,,,,1st Round Pick,$3807146
221,Willie Cauley-Stein\caulewi01,SAC,$3704160,$4696875,,,,,1st round pick,$3704160
222,Buddy Hield\hieldbu01,SAC,$3675480,$3833760,$4861208,,,,1st Round pick,$3675480
223,Will Barton\bartowi01,DEN,$3533333,,,,,,Bird Rights,$3533333
224,Noah Vonleh\vonleno01,POR,$3505233,,,,,,1st Round Pick,$3505233
225,Frank Ntilikina\ntilila01,NYK,$3501120,$4155720,$4855800,$6176578,,,1st Round Pick,$7656840
226,Nene Hilario\hilarne01,HOU,$3477600,$3651480,$3825360,,,,Non-Bird Rights,$10954440
227,Zaza Pachulia\pachuza01,GSW,$3477600,,,,,,,$3477600
228,Troy Daniels\danietr01,MEM,$3408520,$3258540,,,,,Cap Space,$6667060
229,Emmanuel Mudiay\mudiaem01,DEN,$3381480,$4294480,,,,,1st round pick,$3381480
230,Jamal Murray\murraja01,DEN,$3355320,$3499800,$4444746,,,,1st Round pick,$3355320
231,Elfrid Payton\paytoel01,ORL,$3332340,,,,,,1st Round Pick,$3332340
232,Doug McDermott\mcderdo01,OKC,$3294994,,,,,,1st Round Pick,$3294994
233,Jodie Meeks\meeksjo01,WAS,$3290000,$3454500,,,,,Bi-annual Exception,$3290000
234,Rajon Rondo\rondora01,NOP,$3290000,,,,,,MLE,$3290000
235,Tyreke Evans\evansty01,MEM,$3290000,,,,,,Bi-annual Exception,$3290000
236,Tarik Black\blackta01,HOU,$3290000,,,,,,Bi-annual Exception,$3290000
237,Anthony Tolliver\tollian01,DET,$3290000,,,,,,Bi-annual Exception,$3290000
238,Dennis Smith\smithde03,DAL,$3218280,$3819960,$4463640,$5686677,,,1st Round Pick,$7038240
239,Zach LaVine\lavinza01,CHI,$3202217,,,,,,1st Round Pick,$3202217
240,T.J. Warren\warretj01,PHO,$3152931,,,,,,1st Round Pick,$3152931
241,Stanley Johnson\johnsst04,DET,$3097800,$3940402,,,,,1st round pick,$3097800
242,Marquese Chriss\chrisma01,PHO,$3073800,$3206160,$4078236,,,,1st Rd pick,$3073800
243,Zach Collins\colliza01,POR,$3057240,$3628920,$4240200,$5406255,,,1st Round Pick,$6686160
244,James Ennis\ennisja01,MEM,$3028410,,,,,,Room exception,$3028410
245,Seth Curry\curryse01,DAL,$3028410,,,,,,Room exception,$3028410
246,Mindaugas Kuzminskas\kuzmimi01,NYK,$3025035,,,,,,Room Exception,$3025035
247,Tomas Satoransky\satorto01,WAS,$3000000,$3129187,,,,,Cap Space,$6129187
248,Rajon Rondo\rondora01,CHI,$3000000,,,,,,,$3000000
249,Lucas Nogueira\noguelu01,TOR,$2947305,,,,,,1st Round Pick,$2947305
250,Jusuf Nurkic\nurkiju01,POR,$2947305,,,,,,1st Round Pick,$2947305
251,Malik Monk\monkma01,CHO,$2904480,$3447480,$4028400,$5345687,,,1st Round Pick,$6351960
252,Frank Kaminsky\kaminfr01,CHO,$2847600,$3627842,,,,,1st round pick,$2847600
253,Jakob Poeltl\poeltja01,TOR,$2825640,$2947320,$3754886,,,,1st Round pick,$2825640
254,Luke Kennard\kennalu01,DET,$2759280,$3275280,$3827160,$5273826,,,1st Round Pick,$6034560
255,Justise Winslow\winslju01,MIA,$2705040,$3448926,,,,,1st round pick,$2705040
256,Michael Carter-Williams\cartemi01,CHO,$2700000,,,,,,Bi-annual Exception,$2700000
257,Thon Maker\makerth01,MIL,$2684160,$2799720,$3569643,,,,1st Round pick,$2684160
258,Cedi Osman\osmande01,CLE,$2642857,$2775000,$2907143,,,,MLE,$8325000
259,Donovan Mitchell\mitchdo01,UTA,$2621280,$3111480,$3635760,$5195501,,,1st Round Pick,$5732760
260,Myles Turner\turnemy01,IND,$2569920,$3410284,,,,,1st round pick,$2569920
261,Gary Harris\harriga01,DEN,$2550055,,,,,,1st Round Pick,$2550055
262,Domantas Sabonis\sabondo01,IND,$2550000,$2659800,$3529555,,,,1st Round pick,$2550000
263,Reggie Bullock\bullore01,DET,$2500000,$2500000,,,,,Cap space,$2500000
264,Richard Jefferson\jefferi01,CLE,$2500000,$2612500,,,,,Cap Space,$2500000
265,Malcolm Delaney\delanma01,ATL,$2500000,,,,,,Room Exception,$2500000
266,Bam Adebayo\adebaba01,MIA,$2490360,$2955840,$3454080,$5115492,,,1st Round Pick,$5446200
267,Bruno Caboclo\cabocbr01,TOR,$2451225,,,,,,1st Round Pick,$2451225
268,Ronnie Price\pricero01,OKC,$2442455,,,,,,,$2442455
269,Trey Lyles\lylestr01,DEN,$2441400,$3364249,,,,,1st round pick,$2441400
270,Dario Saric\saricda01,PHI,$2422560,$2526840,$3481986,,,,1st Round pick,$2422560
271,Taurean Waller-Prince\princta02,ATL,$2422560,$2526840,$3481986,,,,1st Round pick,$2422560
272,Rodney Hood\hoodro01,UTA,$2386864,,,,,,1st Round Pick,$2386864
273,Justin Jackson\jacksju01,SAC,$2365560,$2807880,$3280920,$5029650,,,1st Round Pick,$5173440
274,Shabazz Napier\napiesh01,POR,$2361360,,,,,,1st Round Pick,$2361360
275,Clint Capela\capelca01,HOU,$2334520,,,,,,1st Round Pick,$2334520
276,Arron Afflalo\afflaar01,ORL,$2328652,,,,,,Minimum Salary,$2328652
277,Nick Collison\collini01,OKC,$2328652,,,,,,Minimum Salary,$2328652
278,Raymond Felton\feltora01,OKC,$2328652,,,,,,Minimum Salary,$2328652
279,Udonis Haslem\hasleud01,MIA,$2328652,,,,,,Minimum Salary,$2328652
280,David West\westda01,GSW,$2328652,,,,,,Minimum Salary,$2328652
281,Jose Calderon\caldejo01,CLE,$2328652,,,,,,Minimum Salary,$2328652
282,Devin Booker\bookede01,PHO,$2319360,$3314365,,,,,1st round pick,$2319360
283,Georgios Papagiannis\papagge01,SAC,$2301360,$2400480,$3430288,,,,1st Round pick,$2301360
284,Justin Patton\pattoju01,MIN,$2247480,$2667600,$3117240,$4781846,,,1st Round Pick,$4915080
285,Guerschon Yabusele\yabusgu01,BOS,$2247480,$2667600,$3117240,$4781846,,,1st Round Pick,$4915080
286,Monta Ellis\ellismo01,IND,$2245400,$2245400,$2245400,$2245400,$2245400,,,$11227000
287,Cameron Payne\payneca01,CHI,$2203440,$3263295,,,,,1st round pick,$2203440
288,Denzel Valentine\valende01,CHI,$2186400,$2280600,$3377569,,,,1st Round pick,$2186400
289,Kyle Anderson\anderky01,SAS,$2151704,,,,,,1st Round Pick,$2151704
290,D.J. Wilson\wilsodj01,MIL,$2135040,$2534280,$2961120,$4548280,,,1st Round Pick,$4669320
291,Matt Barnes\barnema02,SAC,$2133542,$2133542,$2133541,,,,,$6400625
292,Marreese Speights\speigma01,ORL,$2116955,,,,,,Minimum Salary,$2116955
293,Luc Mbah a Moute\mbahalu01,HOU,$2116955,,,,,,Minimum Salary,$2116955
294,Jeff Green\greenje02,CLE,$2116955,,,,,,Minimum Salary,$2116955
295,Derrick Rose\rosede01,CLE,$2116955,,,,,,Minimum Salary,$2116955
